Design_Point,radius_1,x_1,y_1,radius_2,x_2,y_2,radius_3,x_3,y_3,Point_Turbine_Velocity,Plane_Turbine_Velocity,Ideal_Turbine_Thrust,Ideal_Turbine_Power,Ringed_Duct_Thrust,Normalised_Power,Normalised_Thrust,F_objective,
1,0.021,0.23,0.659,0.014,0.185,0.643,0.01,0.314,0.613,1.10663,1.07967,802.563,866.5,96.2308,0.204924119,0.08833831,0.129836555,784.70382
2,0.0105,0.288,0.647,0.011,0.284,0.612,0.019,0.345,0.622,1.13824,1.12772,802.614,905.13,158.701,0.319651926,0.290019878,0.07313503,770.23415
3,0.0215,0.371,0.646,0.024,0.317,0.648,0.022,0.22,0.656,1.14764,1.14953,802.617,922.63,148.541,0.371625434,0.257218882,0.152989384,796.37015
4,0.0155,0.325,0.669,0.018,0.207,0.639,0.0185,0.362,0.617,1.06393,1.0334,802.485,829.28,84.3884,0.094383891,0.05010578,0.051793978,757.54986
5,0.0135,0.348,0.612,0.015,0.235,0.618,0.0235,0.274,0.648,1.08601,1.06281,802.509,852.92,94.5758,0.164592676,0.082995234,0.094046727,772.53057
6,0.013,0.244,0.642,0.019,0.377,0.658,0.0205,0.326,0.653,1.13819,1.12749,802.606,904.93,164.894,0.319057943,0.310013634,0.055546354,764.7701
7,0.02,0.197,0.667,0.0245,0.268,0.617,0.0245,0.192,0.62,1.20057,1.22179,802.461,980.44,343.243,0.543316207,0.885803465,-0.209616738,688.68345
8,0.022,0.22,0.614,0.012,0.171,0.634,0.0185,0.287,0.652,1.04838,1.01305,802.427,812.9,68.8683,0.045736687,0,0.045736687,754.361945
9,0.0145,0.354,0.663,0.0135,0.245,0.665,0.017,0.232,0.609,1.09967,1.07848,802.525,865.51,142.726,0.201983903,0.238445478,-0.000694753,744.1929
10,0.013,0.305,0.673,0.0215,0.252,0.652,0.0155,0.286,0.627,1.20282,1.21195,802.665,972.79,216.756,0.520596359,0.477447217,0.114766224,788.5474
11,0.0155,0.226,0.652,0.0225,0.332,0.621,0.016,0.376,0.662,1.1585,1.14796,802.635,921.39,168.123,0.36794274,0.320438281,0.095570201,778.48545
12,0.019,0.309,0.623,0.0185,0.372,0.649,0.0105,0.27,0.604,1.18151,1.19197,802.693,956.78,187.793,0.473048024,0.383941782,0.146697509,797.15595
13,0.0115,0.292,0.63,0.015,0.19,0.664,0.021,0.253,0.663,1.12316,1.10077,802.571,883.45,123.071,0.255264174,0.174990403,0.106522331,778.83965
14,0.017,0.172,0.67,0.0225,0.342,0.663,0.013,0.386,0.649,1.0999,1.0713,802.545,859.76,102.672,0.184906893,0.109133366,0.092143532,772.4888
15,0.017,0.334,0.639,0.011,0.269,0.627,0.016,0.208,0.653,1.12115,1.0953,802.584,879.07,118.775,0.242255947,0.161121006,0.105303092,778.11125
16,0.011,0.342,0.641,0.022,0.173,0.632,0.011,0.303,0.634,1.0804,1.05534,802.532,846.94,78.0459,0.146832586,0.029629371,0.12164762,780.600985
17,0.0225,0.317,0.651,0.0125,0.202,0.667,0.0155,0.178,0.644,1.09369,1.07554,802.519,863.14,120.161,0.194945205,0.16559563,0.054188919,761.00315
18,0.0105,0.351,0.677,0.013,0.186,0.645,0.0135,0.377,0.62,1.09716,1.06071,802.573,851.3,99.8587,0.159781414,0.100050783,0.074738248,766.420105
19,0.01,0.248,0.633,0.0245,0.301,0.631,0.016,0.185,0.638,1.18805,1.19363,802.661,958.08,183.421,0.476908913,0.369827023,0.162555943,802.17215
20,0.0245,0.325,0.641,0.0115,0.376,0.642,0.02,0.185,0.663,1.15735,1.15354,802.629,925.87,153.295,0.381247958,0.272566907,0.149566087,795.56925
